State_Code,District_Name,Population,First_Dose,Second_Dose,First_Dose_Percentage,Second_Dose_Percentage
TN,Mayiladuthurai,901000,0,0,0.0000,0.0000
MN,Senapati,354772,28777,20519,8.1114,5.7837
NL,Tuensang,414801,38277,27372,9.2278,6.5988
AR,"Kurung Kumey",89717,9148,5856,10.1965,6.5272
NL,Peren,163294,20146,13156,12.3373,8.0566
