,0
AP.districts.Krishna.total.vaccinated2,1914927
AP.districts.Kurnool.delta.confirmed,6
AP.districts.Kurnool.delta.recovered,3
AP.districts.Kurnool.delta.vaccinated1,4716
AP.districts.Kurnool.delta.vaccinated2,1538
AP.districts.Kurnool.delta21_14.confirmed,31
AP.districts.Kurnool.delta7.confirmed,25
AP.districts.Kurnool.delta7.recovered,26
AP.districts.Kurnool.delta7.vaccinated1,178620
AP.districts.Kurnool.delta7.vaccinated2,73119
AP.districts.Kurnool.meta.population,4046601
AP.districts.Kurnool.meta.tested.date,2020-11-26
AP.districts.Kurnool.total.confirmed,124142
AP.districts.Kurnool.total.deceased,853
AP.districts.Kurnool.total.recovered,123264
AP.districts.Kurnool.total.tested,867361
AP.districts.Kurnool.total.vaccinated1,2672759
AP.districts.Kurnool.total.vaccinated2,1290419
AP.districts.Other State.total.confirmed,2461
AP.districts.Other State.total.recovered,2461
AP.districts.Prakasam.delta.confirmed,6
AP.districts.Prakasam.delta.recovered,37
AP.districts.Prakasam.delta.vaccinated1,3292
AP.districts.Prakasam.delta.vaccinated2,5872
AP.districts.Prakasam.delta21_14.confirmed,243
AP.districts.Prakasam.delta7.confirmed,103
AP.districts.Prakasam.delta7.deceased,3
AP.districts.Prakasam.delta7.recovered,290
AP.districts.Prakasam.delta7.vaccinated1,137338
AP.districts.Prakasam.delta7.vaccinated2,130213
AP.districts.Prakasam.meta.population,3392764
AP.districts.Prakasam.meta.tested.date,2020-11-26
AP.districts.Prakasam.total.confirmed,138482
AP.districts.Prakasam.total.deceased,1124
AP.districts.Prakasam.total.recovered,136989
AP.districts.Prakasam.total.tested,697340
AP.districts.Prakasam.total.vaccinated1,2321031
AP.districts.Prakasam.total.vaccinated2,1521177
AP.districts.S.P.S. Nellore.delta.confirmed,34
AP.districts.S.P.S. Nellore.delta.deceased,1
AP.districts.S.P.S. Nellore.delta.recovered,23
AP.districts.S.P.S. Nellore.delta.vaccinated1,2724
AP.districts.S.P.S. Nellore.delta.vaccinated2,1639
AP.districts.S.P.S. Nellore.delta21_14.confirmed,283
AP.districts.S.P.S. Nellore.delta7.confirmed,155
AP.districts.S.P.S. Nellore.delta7.deceased,2
AP.districts.S.P.S. Nellore.delta7.recovered,235
AP.districts.S.P.S. Nellore.delta7.vaccinated1,96973
AP.districts.S.P.S. Nellore.delta7.vaccinated2,114393
AP.districts.S.P.S. Nellore.meta.population,2966082
AP.districts.S.P.S. Nellore.meta.tested.date,2020-11-26
AP.districts.S.P.S. Nellore.total.confirmed,146388
AP.districts.S.P.S. Nellore.total.deceased,1053
AP.districts.S.P.S. Nellore.total.recovered,144919
AP.districts.S.P.S. Nellore.total.tested,682964
AP.districts.S.P.S. Nellore.total.vaccinated1,2143402
AP.districts.S.P.S. Nellore.total.vaccinated2,1403240
AP.districts.Srikakulam.delta.confirmed,19
AP.districts.Srikakulam.delta.recovered,20
AP.districts.Srikakulam.delta.vaccinated1,2
AP.districts.Srikakulam.delta.vaccinated2,6
AP.districts.Srikakulam.delta21_14.confirmed,47
AP.districts.Srikakulam.delta7.confirmed,132
AP.districts.Srikakulam.delta7.recovered,72
AP.districts.Srikakulam.delta7.vaccinated1,18883
AP.districts.Srikakulam.delta7.vaccinated2,129575
AP.districts.Srikakulam.meta.population,2699471
AP.districts.Srikakulam.meta.tested.date,2020-11-26
AP.districts.Srikakulam.total.confirmed,123109
AP.districts.Srikakulam.total.deceased,786
AP.districts.Srikakulam.total.recovered,122136
AP.districts.Srikakulam.total.tested,670899
AP.districts.Srikakulam.total.vaccinated1,1630248
AP.districts.Srikakulam.total.vaccinated2,974734
AP.districts.Visakhapatnam.delta.confirmed,27
AP.districts.Visakhapatnam.delta.recovered,30
AP.districts.Visakhapatnam.delta.vaccinated1,1309
AP.districts.Visakhapatnam.delta.vaccinated2,2311
AP.districts.Visakhapatnam.delta21_14.confirmed,273
